artist_id,name,popularity,followers,genres,img_url
5jXf469U6nrfRT8kiv2XDT,Chuchito Valdes,16,1532,"['charango', 'jazz cubano']",https://i.scdn.co/image/ab67616d0000b2730811d6330a299e693d2bda38
3BP6BYaUeLV6OKu1z8Fh5p,Siempre KORY'S,26,1504,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b27333c6e2c3f710b69dea7595c0
6E8IfauTjGFCRfblooH3Jq,Agrupación Sin Ley,25,1483,['cumbia boliviana'],https://i.scdn.co/image/77344df92dfcd8ac295d78454bd4573c49bbc50c
394GXzmBJQZsKaS7Pnzd74,Los Brothers,19,1420,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273922ed27746864ee300e9c36c
1wC9h4NVFRojVLCT4iqybd,Raul Shaw Moreno,22,1383,['bolero'],https://i.scdn.co/image/ab67616d0000b2737f3a4de47676051722206265
5n6puNSnNhNNZhxvPxwbQp,Raymi Bolivia,18,1350,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b273128c3665d257d79ea8f9c9d2
25A9fsEfQXPj2CXyhRaa0u,Los Bolitas,18,1348,['bolivian rock'],https://i.scdn.co/image/b007ae835d7865bd3f8daa32b60c2798d547acf7
7CVgowEHt62WkE5bnnu5JB,Semilla,25,1328,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b273436320c6fa17cf2aa78e7c8e
0a8lwCnBzG9BkW821GvrmU,William Ernesto Centellas,18,1253,"['andean', 'charango']",https://i.scdn.co/image/ab67616d0000b273df4fd7a1b18fb1c3556ba7d2
49HTD106cs4kqPpCySMgkj,Los Jatun,27,1247,['salay'],https://i.scdn.co/image/21e5168174d97653a6f6a19e24bae385c590fbdf
3JfbO4rk0FLKe1zIiTgWAr,Andesur,34,1239,[],https://i.scdn.co/image/95487d562519a5f0aa9655aadb7bdd4a70f619d3
3M2lcymTGjn5Zep3mQEUBe,Siempre Mayas,19,1218,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b2739f7d1cf5b61507df2a93fc28
1giB2N76W0f0pC2Z8igC14,Renovacion Andina,17,1134,['salay'],
7EiVBWmrJREnqfAtIaRtA2,Pk2,29,1123,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b2734f3ba8b86331ddadcff9b937
06B6e0qeNzvfmGB5XnBtng,Tupay Bolivia,25,1118,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b2736eeeaed95c37c2056caf6459
4bU6ICsClJhv4OsHrTlwEF,Amaru,24,1062,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b273d8d486aeccef7a84a6913cf5
